Before Midpoint	Midpoint	After Midpoint	Exemplars		
threaten	are_ignored_by	punish	criminal:hostage		
take_aim_at	"are_eluded_by, are_tricked_by"	pursue	assassin:target		
fall_in_love_with	are_abandoned_by	pursue	abuser:prey		
fall_in_love_with	are_abandoned_by	pursue	abuser:prey		
evaluate	"are_flattered_by, are_feared_by"	rank	nominator:candidate		
interview	"are_flattered_by, are_feared_by"	rank	nominator:candidate		
deploy	"are_disappointed_by, are_unimpressed_by"	recall	general:soldier		
send	"are_upstaged_by, are_misrepresented_by"	recall	emperor:emissary		
summon	are_obeyed_by	receive	ambassador:courier		
hire	"are_cheated_by, are_disrespected_by, are_disobeyed_by, are_unimpressed_by"	"refuse_to_pay, withold_payment_from"	drug_dealer:chemist		
profit_from	are_sued_by	settle_with	trafficker:slave		
rent_from	"are_abused_by, are_mistreated_by, are_cheated_by"	refuse_to_pay	boarder:landlord		
"are_underpaid_by, are_underappreciated_by"	"steal_from, cheat"	"are_disrespected_by, are_underappreciated_by"	salesman:retailer		
abuse	"are_blackmailed_by, are_bought_off_by"	release	extremist:hostage		
apprehend	"are_moved_by, are_begged_by"	release	lawman:criminal		
arrest	"are_moved_by, are_begged_by"	release	lawman:criminal		
capture	are_bought_off_by	release	pirate:captive		
catch	are_moved_by	release	gamekeeper:poacher		
experiment_on	"are_entertained_by, are_moved_by"	release	experimenter:monkey		
guard	are_tricked_by	release	gaoler:convict		
take_as_prisoner	"are_bought_off_by, are_moved_by"	release	bank_robber:hostage		
borrow_from	are_humiliated_by	repay	debtor:creditor		
defraud	are_sued_by	repay	knave:dupe		
owe	are_threatened_by	repay	debtor:creditor		
owe_to	are_threatened_by	repay	debtor:lender		
profit_from	are_moved_by	repay	pimp:hooker		
rob	are_moved_by	repay	bandit:victim		
steal_from	are_blackmailed_by	repay	thief:victim		
steal_from	"are_investigated_by, are_pursued_by, are_threatened_by, are_denounced_by"	repay	thief:victim		
fall_in_love_with	"are_rebuffed_by, are_ignored_by, are_humiliated_by, are_spurned_by, are_mocked_by"	resent	voter:politician		
counsel	"are_ignored_by, are_distrusted_by"	resent	psychiatrist:patient		
criticize	are_silenced_by	resent	critic:artist		
are_questioned_by	respond_to	are_silenced_by	god:supplicant		
sweat_for	"are_abused_by, are_exploited_by, are_mistreated_by, are_underpaid_by, are_underappreciated_by"	resent	laborer:hirer		
sympathize_with	"are_disrespected_by, are_cheated_by, are_lectured_by"	resent	sympathizer:activist		
work_for	"are_cheated_by, are_deceived_by, are_disrespected_by, are_underpaid_by"	resent	nationalist:foreigner		
work_with	"are_cheated_by, are_deceived_by, are_disrespected_by"	resent	nationalist:foreigner		
are_appreciated_by	"steal_from, cheat"	are_beaten_by	vassal:emperor		
worship	"are_deceived_by, are_disrespected_by, are_unimpressed_with"	resent	adorer:god		
attack	are_resisted_by	respect	competitor:opponent		
attack	"are_beaten_by, are_defeated_by"	respect	loser:winner		
condescend_to	are_humiliated_by	respect	competitor:opponent		
underestimate	"are_defeated_by, are_bitten_by"	respect	aggressor:opponent		
influence	are_obeyed_by	reward	lobbyist:politician		
silence	are_feared_by	reward	politician:critic		
cede_power_to	are_tormented_by	rise_against	loser:winner		
fear	are_pushed_too_far_by	rise_against	vassal:emperor		
labor_for	"are_pushed_too_far_by, are_abused_by"	rise_against	peasant:overlord		
obey	"are_disgusted_by, are_pushed_too_far_by"	rise_against	serf:king		
obey	"are_deceived_by, are_disgusted_by, are_exploited_by"	rise_against	torturer:despot		
serve	"are_abused_by, are_exploited_by, are_mistreated_by, are_underpaid_by, are_underappreciated_by"	rise_against	vassal:conqueror		
surrender_to	are_humiliated_by	rise_against	loser:winner		
enchant	"are_worshipped_by, are_obeyed_by, are_trusted_by"	rule	aristocrat:peasant		
subjugate	"are_feared_by, are_obeyed_by, are_worshipped_by"	rule_over	conqueror:native		
vote_for	"are_disillusioned_by, are_unimpressed_by"	run_against	incumbent:challenger		
"are_hired_by, work_for, accompany"	"are_exploited_by, are_disrespected_by, are_pushed_too_far_by"	run_away_from	porter:climber		
visit	"are_disgusted_by, are_shocked_by, are_threatened_by"	run_away_from	gynecologist:baby		
dump	"are_insulted_by, are_attacked_by"	run_away_from	lover:ex		
fail_to_deliver_for	"are_beaten_by, are_threatened_by, are_sued_by"	run_away_from	prostitute:pimp		
govern	are_toppled_by	run_away_from	sultan:serf		
love	are_overwhelmed_by	run_away_from	mother:baby		
molest	are_bitten_by	run_away_from	paedophile:child		
pick_on	are_lectured_by	run_away_from	linebacker:opponent		
stalk	are_threatened_by	run_away_from	admirer:celebrity		
torment	are_bitten_by	run_away_from	terrorist:victim		
visit	are_bored_by	run_away_from	house_guest:homeowner		
report_to	are_abused_by	run_away_from	deputy:commissioner		
handle	are_disappointed_by	sacrifice	controller:spy		
manipulate	are_trusted_by	sacrifice	chess_player:pawn		
save	are_disrespected_by	sacrifice	messiah:apostle		
kill	"are_cursed_by, are_haunted_by"	sacrifice_to	insurgent:civilian		
worship	are_ignored_by	sacrifice_to	devotee:saint		
let_go_of	"are_forgotten_by, are_haunted_by"	search_for	momma:baby		
spy_on	"are_impressed_by, are_intrigued_by"	seduce	king:mistress		
listen_to	are_inspired_by	seek_advice_from	intern:mentor		
assassinate	are_haunted_by	seek_forgiveness_from	hit_man:target		
betray	"are_attacked_by, are_cursed_by"	seek_forgiveness_from	double_agent:master		
blow_up	are_haunted_by	seek_forgiveness_from	insurgent:civilian		
cheat_on	"are_stalked_by, are_caught_by"	seek_forgiveness_from	adulterer:spouse		
condescend_to	"are_insulted_by, are_attacked_by"	seek_forgiveness_from	conqueror:vassal		
fight_against	"are_beaten_by, are_defeated_by"	"seek_forgiveness_from, cede_power_to, bow_down_to"	candidate:detractor		
hate	are_moved_by	seek_forgiveness_from	butcher:vegetarian		
kill	"are_cursed_by, are_haunted_by"	seek_forgiveness_from	assassin:ruler		
persecute	are_moved_by	seek_forgiveness_from	harasser:victim		
steal_from	"are_interrogated_by, are_lectured_by, are_reported_by"	seek_forgiveness_from	bank_robber:banker		
steal_from	are_uncovered_by	seek_forgiveness_from	thief:victim		
surrender_to	"are_taunted_by, are_mocked_by, are_criticized_by"	seek_forgiveness_from	target:attacker		
profit_from	are_trusted_by	"condescend_to, take_advantage_of"	slave_owner:slave		
save	are_trusted_by	exploit	rescuer:survivor		
appoint	are_flattered_by	dispatch	emperor:emissary		
assault	are_sued_by	settle_with	attacker:target		
attack	"are_beaten_by, are_defeated_by"	settle_with	attacker:target		
beat_up	are_sued_by	settle_with	sadist:masochist		
beg_forgiveness_from	are_pitied_by	settle_with	thief:victim		
disagree_with	are_persuaded_by	settle_with	advocate:opposer		
hurt	are_sued_by	settle_with	offender:victim		
joke_about	are_threatened_by	settle_with	mocker:victim		
negotiate_with	"are_respected_by, are_impressed_by"	settle_with	politician:rival		
overcome	are_moved_by	settle_with	fighter:foe		
spread_lies_about	are_sued_by	settle_with	liar:victim		
stand_up_to	are_respected_by	settle_with	theorist:critic		
read_the_works_of	"are_impressed_by, admire, are_moved_by"	worship	reader:writer		
read_the_works_of	"are_impressed_by, admire, are_moved_by"	stalk	reader:writer		
sue	"are_moved_by,  are_seduced_by"	settle_with	plaintiff:defendant		
testify_against	are_defeated_by	settle_with	boss:lackey		
turn_against	are_bought_off_by	settle_with	underling:boss		
take_aim_at	are_bought_off_by	show_loyalty_to	assassin:target		
appeal_to	are_saved_by	show_loyalty_to	advocate:stakeholder		
are_moved_by	"sympathize_with, pity, identify_with"	show_loyalty_to	tormentor:martyr		
labor_for	"are_rewarded_by, are_respected_by"	show_loyalty_to	knight:king		
marry	are_loved_by	show_loyalty_to	princess:prince		
sign_with	"are_respected_by, are_rewarded_by"	show_loyalty_to	boxer:promoter		
wait_on	"are_rewarded_by, are_respected_by"	show_loyalty_to	knight:king		
work_for	"are_rewarded_by, are_respected_by, are_shielded_by"	show_loyalty_to	knight:king		
worship	are_rewarded_by	show_loyalty_to	imam:prophet		
identify	are_impressed_by	sign_up	policyholder:beneficiary		
impress	"are_flattered_by, are_seduced_by"	sign_with	boxer:promoter		
confide_in	are_betrayed_by	silence	confidante:friend		
dismiss	"are_chastised_by,  are_scolded_by, are_denounced_by"	silence	boss:lackey		
exploit	"are_sued_by, are_disgusted_by"	silence	monster:victim		
humiliate	"are_attacked_by, are_denounced_by"	silence	bully:victim		
indoctrinate	are_misrepresented_by	silence	missionary:convert		
inspire	are_upstaged_by	silence	artist:imitator		
interact_with	"are_insulted_by, are_deceived_by, are_disrespected_by"	silence	secretary:caller		
repay	are_lectured_by	silence	borrower:creditor		
sing_with	are_upstaged_by	silence	singer:accompanist		
steal_from	are_reported_by	silence	cutthroat:victim		
play_with	"are_impressed_by, are_entertained_by"	sing_with	singer:accompanist		
travel_with	"are_impressed_by, are_entertained_by"	sing_with	singer:accompanist		
assist	are_seduced_by	sleep_with	secretary:boss		
attract	are_worshipped_by	sleep_with	rapper:bitch		
date	"are_impressed_by, are_charmed_by"	sleep_with	girlfriend:boyfriend		
feel_sorry_for	are_seduced_by	sleep_with	dupe:scammer		
flirt_with	are_kissed_by	sleep_with	girl:boy		
guard	"are_seduced_by, are_inspired_by"	sleep_with	gaoler:convict		
host	are_seduced_by	sleep_with	mistress:adulterer		
kidnap	are_seduced_by	sleep_with	kidnapper:hostage		
massage	are_seduced_by	sleep_with	masseur:client		
prey_on	"are_rebuffed_by, are_resisted_by"	snatch	bank_robber:hostage		
distrust	are_bought_off_by	share_stories_with	informant:detective		
hate	are_bought_off_by	show_loyalty_to	informant:detective		
campaign_for	are_fired_by	spread_lies_about	staffer:politician		
descend_from	are_haunted_by	spread_lies_about	prince:king		
dump	are_cursed_by	spread_lies_about	adulterer:mistress		
follow	"are_deceived_by, are_disrespected_by, are_unimpressed_with"	spread_lies_about	groupie:celebrity		
kill	are_haunted_by	spread_lies_about	gaoler:convict		
lose_favor_with	"are_ignored_by, are_rebuffed_by, are_spurned_by"	spread_lies_about	deceiver:believer		
misrepresent	are_trusted_by	spread_lies_about	proxy:shareholder		
resent	are_criticized_by	spread_lies_about	nationalist:foreigner		
run_against	"are_heckled_by, are_insulted_by, are_mocked_by"	spread_lies_about	challenger:incumbent		
appoint	"are_unimpressed_by, are_distrusted_by, are_concerned_about"	spy_on	supervisor:trainee		
campaign_for	"are_fired_by, are_deceived_by"	spy_on	staffer:politician		
commit_to	are_concerned_about	spy_on	sweetheart:lover		
fall_in_love_with	are_concerned_about	spy_on	supervisor:trainee		
hire	are_concerned_about	spy_on	supervisor:trainee		
kiss_up_to	are_trusted_by	spy_on	bootlicker:boss		
learn_with	are_trusted_by	spy_on	pupil:schoolmate		
lick_up_to	"are_favored_by, are_trusted_by, are_promoted_by"	spy_on	bootlicker:boss		
look_after	are_concerned_about	spy_on	custodian:juvenile		
monitor	"are_disgusted_by, are_shocked_by"	spy_on	babysitter:baby		
rebel_against	are_suppressed_by	spy_on	teenager:parent		
show_loyalty_to	are_concerned_about	spy_on	knight:king		
study	"are_trusted_by, are_welcomed_by"	spy_on	anthropologist:native		
watch_over	are_unimpressed_by	spy_on	supervisor:trainee		
admire	are_encouraged_by	stalk	reader:writer		
commit_to	"are_rejected_by, are_rebuffed_by, are_ignored_by"	stalk	sweetheart:lover		
pine_for	are_ignored_by	stalk	sweetheart:lover		
are_bullied_by	"are_hardened_by, are_pushed_too_far_by"	stand_up_to	wimp:tormentor		
escape_from	are_pursued_by	stand_up_to	hostage:kidnapper		
fear	are_mocked_by	stand_up_to	captive:executioner		
fear	are_abused_by	stand_up_to	captive:overseer		
fear	are_unimpressed_by	stand_up_to	vassal:emperor		
run_away_from	are_pursued_by	stand_up_to	hostage:kidnapper		
breastfeed	are_bitten_by	starve	momma:newborn		
care_for	are_deceived_by	starve	daddy:child		
attend_to	are_underpaid_by	steal_from	valet:duke		
buy_from	"are_exploited_by, are_cheated_by"	steal_from	buyer:seller		
cater_to	are_underpaid_by	steal_from	hotelier:guest		
charm	are_trusted_by	steal_from	snake_charmer:snake		
cook_for	"are_underpaid_by, are_mistreated_by"	steal_from	housekeeper:homeowner		
farm_for	are_cheated_by	steal_from	sharecropper:landowner		
fool	are_trusted_by	steal_from	forger:expert		
impersonate	are_mistaken_for	steal_from	double:celebrity		
labor_for	"are_underpaid_by,  are_disrespected_by"	steal_from	laborer:farmer		
lease_from	are_deceived_by	steal_from	lessee:landlord		
manipulate	are_trusted_by	steal_from	puppeteer:puppet		
marry	are_worshipped_by	steal_from	fiancée:fiancé		
mimic	are_mistaken_for	steal_from	impersonator:celebrity		
obey	"are_cheated_by, are_underpaid_by"	steal_from	servant:master		
pay	are_cheated_by	steal_from	renter:landlord		
work_for	"are_disrespected_by, are_underappreciated_by, are_underpaid_by"	steal_from	salesman:retailer		
serve	"are_trusted_by, are_underappreciated_by, are_underpaid_by"	"steal_from, cheat"	dealer:customer		
show_loyalty_to	"are_underpaid_by, are_ignored_by, are_underappreciated_by, are_disrespected_by"	"steal_from, cheat"	knight:king		
sign_up	are_trusted_by	"steal_from, cheat"	headhunter:recruit		
supply	are_underpaid_by	"steal_from, cheat"	wholesaler:dealer		
trick	are_underestimated_by	"steal_from, cheat"	swindler:dupe		
work_for	"are_underappreciated_by, are_underpaid_by"	"steal_from, cheat"	actuary:insurer		
work_with	"are_trusted_by, are_corrupted_by"	steal_from	cutthroat:victim		
observe	"are_inspired_by, are_intrigued_by"	study	anthropologist:native		
impress	are_feared_by	subjugate	elitist:commoner		
lead	are_feared_by	subjugate	chief:inferior		
rule	are_resisted_by	subjugate	aristocrat:peasant		
rule_over	are_resisted_by	subjugate	conqueror:native		
flirt_with	are_ignored_by	suck_up_to	sycophant:boss		
work_for	"are_ignored_by, are_distrusted_by"	suck_up_to	bootlicker:boss		
work_for	"are_distrusted_by, are_disrespected_by"	suck_up_to	sycophant:boss		
buy_from	"are_exploited_by, are_cheated_by"	sue	buyer:seller		
consult_with	are_deceived_by	sue	advisee:adviser		
criticize	are_threatened_by	sue	critic:writer		
export_to	are_cheated_by	sue	manufacturer:importer		
fund	"are_disillusioned_by, are_exploited_by, are_deceived_by"	sue	fundamentalist:terrorist		
guarantee	"are_exploited_by, are_cheated_by"	sue	underwriter:investor		
insult	are_silenced_by	sue	blogger:rival		
order_from	are_cheated_by	sue	buyer:seller		
sell_through	are_cheated_by	sue	artist:dealer		
sell_to	"are_cheated_by, are_underpaid_by"	sue	content_provider:subscriber		
sign_with	"are_exploited_by, are_cheated_by, are_underpaid_by"	sue	boxer:promoter		
trust	"are_exploited_by, are_cheated_by"	sue	depositor:banker		
attract	are_bitten_by	surrender_to	host:parasite		
summon	"are_rebuffed_by, are_ignored_by"	track_down	king:envoy		
send	are_misrepresented_by	summon	emperor:emissary		
resemble	are_mistaken_for	supplant	child:sibling		
upstage	are_attacked_by	supplant	student:teacher		
surrender_to	are_respected_by	support	loser:winner		
sympathize_with	are_inspired_by	support	sympathizer:activist		
argue_with	are_persuaded_by	surrender_to	opposer:believer		
attack	"are_defeated_by, are_beaten_by, are_humiliated_by"	surrender_to	matador:bull		
break_free_of	"are_blackmailed_by, are_threatened_by"	surrender_to	thrall:controller		
break_with	are_blackmailed_by	surrender_to	demonstrator:radical		
campaign_against	are_impressed_by	surrender_to	opponent:rival		
elude	are_lured_by	surrender_to	escapee:pursuer		
sue	are_seduced_by	surrender_to	enemy:rival		
underestimate	are_defeated_by	surrender_to	challenger:champion		
attack	are_moved_by	sympathize_with	predator:victim		
hurt	are_forgiven_by	sympathize_with	offender:victim		
whip	are_begged_by	sympathize_with	dominatrix:john		
"learn_from, study_under"	are_trusted_by	take_advantage_of	school_kid:schoolmaster		
serve	are_trusted_by	take_advantage_of	feudatory:emperor		
wait_on	are_trusted_by	take_advantage_of	manservant:lord		
work_for	"are_trusted_by, are_underestimated_by"	take_advantage_of	inspector:regulator		
coerce	are_resisted_by	take_as_prisoner	bank_robber:hostage		
take_aim_at	are_bought_off_by	take_up_with	assassin:target		
let_in	"are_seduced_by, are_flattered_by"	take_up_with	cheater:mistress		
seduce	are_entertained_by	take_up_with	geisha:client		
confer_with	are_concerned_about	diagnose	doctor:patient		
attend	"are_disgusted_by, are_shocked_by, are_disfigured_by"	testify_against	patient:dentist		
campaign_against	are_sued_by	testify_against	rival:enemy		
commit_to	are_betrayed_by	testify_against	sweetheart:lover		
conspire_with	"are_corrupted_by, are_cheated_by"	testify_against	abetter:criminal		
destroy	are_arrested_for_hurting	testify_against	rival:enemy		
dismiss	are_sued_by	testify_against	boss:lackey		
fire	are_sued_by	testify_against	comedian:publicist		
inform	are_misrepresented_by	testify_against	source:columnist		
kill	are_haunted_by	exorcise	gaoler:convict		
kill_for	"are_lectured_by, are_disrespected_by"	testify_against	hit_man:mobster		
lead_astray	are_cursed_by	testify_against	tempter:sinner		
listen_to	are_deceived_by	testify_against	barman:customer		
misrepresent	are_sued_by	testify_against	proxy:shareholder		
monitor	"are_disgusted_by, are_shocked_by"	testify_against	babysitter:baby		
popularize	are_disgusted_by	testify_against	publicist:actor		
propagandize_for	are_disgusted_by	testify_against	propagandist:autocrat		
prosecute	are_threatened_by	testify_against	prosecutor:criminal		
work_with	"are_disgusted_by, are_shocked_by"	snitch_on	criminal:abetter		
snitch_on	"are_feared_by, are_despised_by"	testify_against	informant:criminal		
testify_for	are_disgusted_by	testify_against	expert:attorney		
topple	are_arrested_for_hurting	testify_against	rebel:tyrant		
torture	are_informed_by	testify_against	interrogator:defendant		
watch_over	"are_disgusted_by, are_shocked_by"	testify_against	supervisor:trainee		
confer_with	are_coached_by	testify_for	cop:lawyer		
snitch_to	are_rewarded_by	testify_for	informant:detective		
testify_against	are_bought_off_by	testify_for	cop:suspect		
consult_with	"are_bored_by, are_unimpressed_by"	refuse_to_pay	defendant:witness		
censure	are_denounced_by	threaten	censor:liberal		
interrogate	are_deceived_by	threaten	cop:suspect		
interview	are_deceived_by	threaten	commentator:expert		
threaten_with	are_disrespected_by	threaten	moneylender:goon		
trust	"are_exploited_by, are_cheated_by"	threaten	depositor:banker		
select	are_assisted_by	tip	tourist:guide		
talk_to	are_bought_off_by	tip_off	insider:reporter		
interrogate	"are_resisted_by, are_ignored_by, are_disrespected_by"	torture	interrogator:defendant		
hunt	are_eluded_by	track_down	abuser:prey		
pursue	are_eluded_by	track_down	abuser:prey		
search_for	are_eluded_by	track_down	predator:prey		
share_stories_with	are_bored_by	turn_against	confidante:friend		
lend_to	are_feared_by	trust	creditor:borrower		
believe_in	"are_bored_by, are_lectured_by"	tune_out	listener:preacher		
listen_to	"are_bored_by, are_lectured_by"	tune_out	listener:preacher		
lose_interest_in	"are_insulted_by, are_disrespected_by, are_chastised_by"	tune_out	groupie:celebrity		
pray_with	"are_lectured_by, are_bored_by"	tune_out	coreligionist:believer		
seek_advice_from	"are_lectured_by, are_bored_by"	tune_out	intern:mentor		
accompany	are_upstaged_by	turn_against	guitarist:vocalist		
answer_to	"are_pushed_too_far_by, are_disrespected_by"	turn_against	counsellor:emperor		
are_deceived_by	grow_suspicious_of	turn_against	soldier:recruiter		
carry_for	"are_pushed_too_far_by, are_underpaid_by"	turn_against	porter:hunter		
champion	"are_disrespected_by, are_insulted_by, are_mocked_by"	turn_against	knight:king		
conspire_with	"are_betrayed_by, are_cheated_by"	turn_against	abetter:criminal		
disobey	are_excommunicated_by	turn_against	cleric:pope		
disobey	are_defrocked_by	turn_against	priest:bishop		
elect	are_disappointed_by	turn_against	citizen:legislator		
kill_for	"are_disgusted_by, are_pushed_too_far_by"	turn_against	terrorist:radical		
obey	"are_deceived_by, are_disgusted_by, are_exploited_by"	turn_against	torturer:despot		
obey	"are_deceived_by, are_exploited_by"	turn_against	underling:decision_maker		
pamper	are_underappreciated_by	turn_against	handmaiden:goddess		
please	are_underappreciated_by	turn_against	censor:dictator		
report_to	"are_underpaid_by, are_underappreciated_by"	turn_against	traitor:paymaster		
sacrifice_to	are_ignored_by	turn_against	devotee:saint		
speak_to	are_deceived_by	turn_against	eyewitness:reporter		
support	"are_disgusted_by, are_pushed_too_far_by"	turn_against	quisling:colonizer		
work_under	"are_abused_by, are_exploited_by"	turn_against	apprentice:artisan		
work_with	are_pushed_too_far_by	turn_against	comrade:collaborator		
attack	"are_deceived_by, are_tricked_by"	underestimate	aggressor:opponent		
campaign_against	"are_deceived_by, are_tricked_by"	underestimate	challenger:incumbent		
challenge	are_unimpressed_by	underestimate	opponent:candidate		
charm	are_trusted_by	underestimate	snake_charmer:snake		
collude_with	are_unimpressed_by	underestimate	conspirator:coconspirator		
compete_against	"are_unimpressed_by, are_bored_by"	underestimate	champion:challenger		
condescend_to	are_despised_by	underestimate	overlord:peasant		
fight	"are_bored_by, are_deceived_by, are_tricked_by, are_unimpressed_by"	underestimate	challenger:champion		
fight_against	"are_bored_by, are_deceived_by, are_tricked_by, are_unimpressed_by"	underestimate	ayatollah:secularist		
govern	are_bored_by	underestimate	sultan:serf		
harass	are_unimpressed_by	underestimate	nationalist:outsider		
impress	are_feared_by	underestimate	elitist:commoner		
manipulate	are_trusted_by	underestimate	serial_killer:policeman		
oppress	"are_bored_by, are_unimpressed_by"	underestimate	oppressor:dissident		
overshadow	are_unimpressed_by	underestimate	master:rival		
perform_with	"are_bored_by, are_unimpressed_by"	underestimate	lion_tamer:lion		
punish	"are_feared_by, are_despised_by"	underestimate	totalitarian:dissenter		
rebel_against	"are_bored_by, are_unimpressed_by"	underestimate	teenager:parent		
repress	"are_deceived_by, are_tricked_by, are_unimpressed_with"	underestimate	dictator:rebel		
rise_against	"are_deceived_by, are_tricked_by"	underestimate	slave:puppeteer		
rule_over	"are_bored_by, are_unimpressed_by"	underestimate	overlord:vassal		
struggle_against	"are_tricked_by, are_deceived_by"	underestimate	fighter:foe		
subdue	are_resisted_by	underestimate	conqueror:native		
suppress	are_resisted_by	underestimate	don:rival		
torment	are_despised_by	underestimate	dictator:victim		
tower_over	are_unimpressed_by	underestimate	giant:rival		
resemble	are_mistaken_for	undermine	child:sibling		
serve	are_disillusioned_by	undermine	disciple:apostle		
sing_with	"are_upstaged_by, are_underpaid_by, are_underappreciated_by"	undermine	singer:accompanist		
support	"are_disgusted_by, are_shocked_by"	undermine	extremist:terrorist		
copy	are_sued_by	upstage	copycat:artist		
imitate	are_inspired_by	upstage	aspirant:role_model		
impersonate	are_sued_by	upstage	impersonator:celebrity		
impress	are_promoted_by	upstage	prodigy:teacher		
pose_for	"are_lectured_by, are_mocked_by"	upstage	model:designer		
resemble	are_mistaken_for	upstage	child:sibling		
work_for	are_unimpressed_by	upstage	photographer:fashion_designer		
vote_for	"are_disillusioned_by, are_unimpressed_by"	vote_against	incumbent:challenger		
vote_against	"are_blackmailed_by, are_bought_off_by"	vote_for	neoconservative:dove		
appoint	"are_unimpressed_by, are_distrusted_by, are_concerned_about"	watch_over	autocrat:propagandist		
fall_in_love_with	are_concerned_about	watch_over	supervisor:trainee		
hire	are_concerned_about	watch_over	supervisor:trainee		
let_in	"are_greeted_by, are_complimented_by"	welcome	host:guest		
visit	are_impressed_by	worship	gynecologist:baby		
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
